OK {maxAllowedRate:45,currentMaxRate:43}
62
09:01,09:30
09:02,09:31
09:03,09:32
09:04,09:33
09:05,09:34
09:06,09:35
09:07,09:36
09:08,09:37
09:09,09:38
09:10,09:39
09:11,09:40
09:12,09:41
09:13,09:42
09:14,09:43
09:15,09:44
09:16,09:45
09:17,09:46
09:18,09:47
09:19,09:48
09:20,09:49
09:21,09:50
09:22,09:51
09:23,09:52
09:24,09:53
09:25,09:54
09:26,09:55
09:27,09:56
09:28,09:57
09:29,09:58
09:30,09:59
09:31,10:00
09:32,10:01
09:33,10:02
09:34,10:03
09:35,10:04
09:36,10:05
09:37,10:06
09:38,10:07
09:39,10:08
09:40,10:09
09:41,10:10
09:42,10:11
09:43,10:12
09:44,10:13
09:45,10:14
09:46,10:15
09:47,10:16
09:48,10:17
09:49,10:18
09:50,10:19
09:51,10:20
09:52,10:21
09:53,10:22
09:54,10:23
09:55,10:24
09:56,10:25
09:57,10:26
09:58,10:27
09:59,10:28
10:00,10:29
10:01,10:30
15:01,15:30
